hidden,backend,requested_steps,lr,runs,valid_runs,throughput_mean_mtok_s,throughput_median_mtok_s,throughput_std_mtok_s,throughput_min_mtok_s,throughput_cv_pct,throughput_max_mtok_s,time_mean_ms,time_std_ms,final_loss_mean,all_valid
128,auto,100,3e-4,4,4,2.4733152499999997,2.4693815,0.017254200674521714,2.45693,0.6976142921741058,2.497568,82.75,0.5,3.1903750000000004,yes
128,cublas_tc,100,3e-4,4,4,2.49435725,2.4935295,0.0049575361067771785,2.489449,0.1987500429931269,2.500921,82.0,0.0,3.194325,yes
128,custom,100,3e-4,4,4,2.3932634999999998,2.393319,0.0005719076265740061,2.392549,0.023896559094893067,2.393867,86.0,0.0,3.0972,yes
