section,case,config,metric,value,unit,source,notes
correctness,full matrix,all defaults and smoke tests,result,pass,,job 85267,"make all/tests/mpi, model reference for custom/cublas/cublas_tc/cublas_tc_lt, validate-config, mpi smoke"
correctness,h512 fp16 model reference,fp16 storage-only and ffn fp16,result,pass,,job 85272,short reference checks pass; repeated training still determines whether a mode is shippable
roofline_fusion,ln_bwd_residual_unfused,ncu aggregate,arithmetic_intensity,0.5517447821173864,flop/byte,job 85274,"dram_bytes=8552128, bottleneck=compute-bound;memory-bound"
roofline_fusion,ln_bwd_residual_unfused,ncu aggregate,measured_bandwidth,251.414863593603,gb/s,job 85274,37.4% of 672 gb/s
roofline_fusion,residual_ln_fused,ncu aggregate,arithmetic_intensity,0.9354683178115564,flop/byte,job 85274,"dram_bytes=2522048, bottleneck=compute-bound"
roofline_fusion,residual_ln_fused,ncu aggregate,measured_bandwidth,228.44637681159418,gb/s,job 85274,34.0% of 672 gb/s
roofline_fusion,residual_ln_unfused,ncu aggregate,arithmetic_intensity,0.652385123835311,flop/byte,job 85274,"dram_bytes=3616416, bottleneck=compute-bound;memory-bound"
roofline_fusion,residual_ln_unfused,ncu aggregate,measured_bandwidth,215.26285714285717,gb/s,job 85274,32.0% of 672 gb/s
hotspot_ncu,batched_qkv,volta_s884gemm_128x128_ldg8_f2f_nn,ncu_gflops,15123.692307692305,gflop/s,job 85273,"ai=95.28, bw=158.74 gb/s"
hotspot_ncu,fwd_ff1,volta_s884gemm_128x128_ldg8_f2f_nn,ncu_gflops,19075.85673678226,gflop/s,job 85273,"ai=108.34, bw=176.07 gb/s"
hotspot_ncu,splitk_dW1,volta_s884gemm_128x128_ldg8_f2f_nt,ncu_gflops,15805.196420160151,gflop/s,job 85273,"ai=77.33, bw=204.39 gb/s"
hotspot_ncu,splitk_dW2,volta_s884gemm_128x128_ldg8_f2f_nt,ncu_gflops,16249.119612590799,gflop/s,job 85273,"ai=77.25, bw=210.33 gb/s"
nsys_h256_comm,direct,Device-to-Host,total_memcpy_time,13.48909,ms,job 85276,"calls=22, total_mb=70.425604"
nsys_h256_comm,direct,Host-to-Device,total_memcpy_time,7.527532,ms,job 85276,"calls=24, total_mb=75.855872"
nsys_h256_comm,pinned,Host-to-Device,total_memcpy_time,6.824586,ms,job 85276,"calls=84, total_mb=75.855872"
nsys_h256_comm,pinned,Device-to-Host,total_memcpy_time,5.632592,ms,job 85276,"calls=82, total_mb=70.425604"
nsys_h256_comm,openmp_thread,Host-to-Device,total_memcpy_time,6.255577,ms,job 85276,"calls=84, total_mb=75.855872"
nsys_h256_comm,openmp_thread,Device-to-Host,total_memcpy_time,5.793821,ms,job 85276,"calls=82, total_mb=70.425604"
power,nvml sampling,time-sampled power,result,not included,,manual,only start/end nvidia-smi states were captured; no repeated time-sampled energy claim is made
