case,rows,cols,flops_model,dram_bytes,ncu_kernel_runtime_us,arithmetic_intensity_flop_per_byte,measured_gflops,measured_bandwidth_gbs,percent_peak_bandwidth,roofline_bound_gflops,percent_roofline,observed_bottlenecks
bias_relu_fused,2048,512,1048576.0,5642176,14.624,0.18584602819904944,71.70240700218818,385.81619256017507,57.41312389288319,124.88853094976122,57.4131238928832,memory-bound
bias_relu_unfused,2048,512,1048576.0,11731936,32.896,0.08937791682464002,31.87548638132296,356.637159533074,53.07100588289792,60.0619601061581,53.071005882897914,memory-bound
ln_bwd_residual_fused,2048,128,4456448.0,7345664,28.992,0.6066773541506936,153.7130242825607,253.36865342163355,37.70366866393357,407.6871819892661,37.703668663933556,memory-bound;mixed
ln_bwd_residual_unfused,2048,128,4718592.0,8552128,34.016000000000005,0.5517447821173864,138.71683913452495,251.414863593603,37.41292613000045,370.77249358288367,37.41292613000046,compute-bound;memory-bound
residual_ln_fused,2048,128,2359296.0,2522048,11.040000000000001,0.9354683178115564,213.70434782608694,228.44637681159418,33.99499654934437,628.6347095693659,33.99499654934437,compute-bound
residual_ln_unfused,2048,128,2359296.0,3616416,16.8,0.652385123835311,140.43428571428575,215.26285714285717,32.03316326530613,438.402803217329,32.03316326530613,compute-bound;memory-bound
