hidden,backend,requested_steps,lr,runs,valid_runs,throughput_mean_mtok_s,throughput_median_mtok_s,throughput_std_mtok_s,throughput_min_mtok_s,throughput_cv_pct,throughput_max_mtok_s,time_mean_ms,time_std_ms,final_loss_mean,all_valid
512,cublas_tc,50,1e-4,5,5,0.6562512,0.727849,0.17003600442024036,0.352209,25.910200913954956,0.739497,170.0,67.65352910233139,3.21638,yes
512,cublas_tc_ffn_fp16,50,1e-4,5,4,0.7153585,0.7606235,0.09152448324719824,0.578078,12.794212027563557,0.762109,145.25,21.17191535974013,3.205225,no
512,cublas_tc_fp16_storage,50,1e-4,5,5,0.7081714,0.709242,0.004263072225519971,0.701154,0.6019831110829909,0.712271,144.6,0.8944271909999159,3.2161,yes
512,custom,50,1e-4,5,5,0.2824328,0.282105,0.0006581327373714269,0.281902,0.23302277121192258,0.283433,362.4,0.8944271909999159,3.17316,yes
