backend,ranks,bytes,count,iteration,time_ms
host_pinned,2,16384,4096,33,0.017243
host_pinned,2,16384,4096,34,0.02636
host_pinned,2,16384,4096,35,0.014748
host_pinned,2,16384,4096,36,0.015319
host_pinned,2,16384,4096,37,0.014447
host_pinned,2,16384,4096,38,0.02092
host_pinned,2,16384,4096,39,0.018705
host_pinned,2,16384,4096,40,0.018395
host_pinned,2,16384,4096,41,0.013485
host_pinned,2,16384,4096,42,0.014918
host_pinned,2,16384,4096,43,0.015589
host_pinned,2,16384,4096,44,0.017523
host_pinned,2,16384,4096,45,0.018755
host_pinned,2,16384,4096,46,0.013516
host_pinned,2,16384,4096,47,0.013445
host_pinned,2,16384,4096,48,0.014378
host_pinned,2,16384,4096,49,0.016361
host_pinned,2,16384,4096,50,0.019998
host_pinned,2,32768,8192,1,0.021731
host_pinned,2,32768,8192,2,0.030628
host_pinned,2,32768,8192,3,0.025989
host_pinned,2,32768,8192,4,0.02598
host_pinned,2,32768,8192,5,0.030859
host_pinned,2,32768,8192,6,0.02609
host_pinned,2,32768,8192,7,0.034305
host_pinned,2,32768,8192,8,0.025509
host_pinned,2,32768,8192,9,0.026731
host_pinned,2,32768,8192,10,0.027652
host_pinned,2,32768,8192,11,0.025438
host_pinned,2,32768,8192,12,0.026189
host_pinned,2,32768,8192,13,0.024287
host_pinned,2,32768,8192,14,0.024336
host_pinned,2,32768,8192,15,0.024176
host_pinned,2,32768,8192,16,0.024065
host_pinned,2,32768,8192,17,0.024497
host_pinned,2,32768,8192,18,0.026029
host_pinned,2,32768,8192,19,0.023254
host_pinned,2,32768,8192,20,0.025228
host_pinned,2,32768,8192,21,0.025438
host_pinned,2,32768,8192,22,0.025569
host_pinned,2,32768,8192,23,0.025338
host_pinned,2,32768,8192,24,0.023725
host_pinned,2,32768,8192,25,0.024577
host_pinned,2,32768,8192,26,0.024647
host_pinned,2,32768,8192,27,0.022784
host_pinned,2,32768,8192,28,0.023876
host_pinned,2,32768,8192,29,0.024676
host_pinned,2,32768,8192,30,0.036229
host_pinned,2,32768,8192,31,0.0266
host_pinned,2,32768,8192,32,0.024917
host_pinned,2,32768,8192,33,0.025829
host_pinned,2,32768,8192,34,0.022182
host_pinned,2,32768,8192,35,0.023664
host_pinned,2,32768,8192,36,0.023485
host_pinned,2,32768,8192,37,0.025177
host_pinned,2,32768,8192,38,0.024587
host_pinned,2,32768,8192,39,0.02614
host_pinned,2,32768,8192,40,0.022052
host_pinned,2,32768,8192,41,0.025478
host_pinned,2,32768,8192,42,0.022853
host_pinned,2,32768,8192,43,0.025679
host_pinned,2,32768,8192,44,0.024116
host_pinned,2,32768,8192,45,0.022873
host_pinned,2,32768,8192,46,0.022553
host_pinned,2,32768,8192,47,0.024497
host_pinned,2,32768,8192,48,0.025128
host_pinned,2,32768,8192,49,0.022493
host_pinned,2,32768,8192,50,0.022192
host_pinned,2,65536,16384,1,0.03184
host_pinned,2,65536,16384,2,0.043843
host_pinned,2,65536,16384,3,0.039135
host_pinned,2,65536,16384,4,0.040988
host_pinned,2,65536,16384,5,0.039565
host_pinned,2,65536,16384,6,0.03688
host_pinned,2,65536,16384,7,0.037822
host_pinned,2,65536,16384,8,0.037561
host_pinned,2,65536,16384,9,0.037561
host_pinned,2,65536,16384,10,0.038132
host_pinned,2,65536,16384,11,0.040016
host_pinned,2,65536,16384,12,0.037521
host_pinned,2,65536,16384,13,0.038824
host_pinned,2,65536,16384,14,0.039075
host_pinned,2,65536,16384,15,0.039084
host_pinned,2,65536,16384,16,0.035928
host_pinned,2,65536,16384,17,0.040467
host_pinned,2,65536,16384,18,0.039395
host_pinned,2,65536,16384,19,0.040026
host_pinned,2,65536,16384,20,0.041499
host_pinned,2,65536,16384,21,0.036609
host_pinned,2,65536,16384,22,0.03652
host_pinned,2,65536,16384,23,0.038063
host_pinned,2,65536,16384,24,0.037621
host_pinned,2,65536,16384,25,0.03691
host_pinned,2,65536,16384,26,0.03654
host_pinned,2,65536,16384,27,0.038864
host_pinned,2,65536,16384,28,0.03686
host_pinned,2,65536,16384,29,0.038804
host_pinned,2,65536,16384,30,0.037311
host_pinned,2,65536,16384,31,0.036259
host_pinned,2,65536,16384,32,0.039455
host_pinned,2,65536,16384,33,0.036439
host_pinned,2,65536,16384,34,0.041028
host_pinned,2,65536,16384,35,0.039846
host_pinned,2,65536,16384,36,0.03686
host_pinned,2,65536,16384,37,0.036569
host_pinned,2,65536,16384,38,0.038242
host_pinned,2,65536,16384,39,0.03683
host_pinned,2,65536,16384,40,0.039405
host_pinned,2,65536,16384,41,0.036499
host_pinned,2,65536,16384,42,0.0369
host_pinned,2,65536,16384,43,0.036519
host_pinned,2,65536,16384,44,0.035166
host_pinned,2,65536,16384,45,0.039795
host_pinned,2,65536,16384,46,0.037391
host_pinned,2,65536,16384,47,0.037
host_pinned,2,65536,16384,48,0.037792
host_pinned,2,65536,16384,49,0.034937
host_pinned,2,65536,16384,50,0.037381
host_pinned,2,131072,32768,1,0.064282
host_pinned,2,131072,32768,2,0.073579
host_pinned,2,131072,32768,3,0.070444
host_pinned,2,131072,32768,4,0.070314
host_pinned,2,131072,32768,5,0.071065
host_pinned,2,131072,32768,6,0.071195
host_pinned,2,131072,32768,7,0.071196
host_pinned,2,131072,32768,8,0.070614
host_pinned,2,131072,32768,9,0.070184
host_pinned,2,131072,32768,10,0.067769
host_pinned,2,131072,32768,11,0.067799
host_pinned,2,131072,32768,12,0.071646
host_pinned,2,131072,32768,13,0.069723
host_pinned,2,131072,32768,14,0.071315
host_pinned,2,131072,32768,15,0.082738
host_pinned,2,131072,32768,16,0.072377
host_pinned,2,131072,32768,17,0.068991
host_pinned,2,131072,32768,18,0.070544
host_pinned,2,131072,32768,19,0.070443
host_pinned,2,131072,32768,20,0.068139
host_pinned,2,131072,32768,21,0.067519
host_pinned,2,131072,32768,22,0.067528
host_pinned,2,131072,32768,23,0.069382
host_pinned,2,131072,32768,24,0.070373
host_pinned,2,131072,32768,25,0.069442
host_pinned,2,131072,32768,26,0.070083
host_pinned,2,131072,32768,27,0.068981
host_pinned,2,131072,32768,28,0.07391
host_pinned,2,131072,32768,29,0.071256
host_pinned,2,131072,32768,30,0.06856
host_pinned,2,131072,32768,31,0.0686
host_pinned,2,131072,32768,32,0.070824
host_pinned,2,131072,32768,33,0.068871
host_pinned,2,131072,32768,34,0.069522
host_pinned,2,131072,32768,35,0.069672
host_pinned,2,131072,32768,36,0.06839
host_pinned,2,131072,32768,37,0.06849
host_pinned,2,131072,32768,38,0.071225
host_pinned,2,131072,32768,39,0.186875
host_pinned,2,131072,32768,40,0.054573
host_pinned,2,131072,32768,41,0.053151
host_pinned,2,131072,32768,42,0.051137
host_pinned,2,131072,32768,43,0.053491
host_pinned,2,131072,32768,44,0.052199
host_pinned,2,131072,32768,45,0.052911
host_pinned,2,131072,32768,46,0.051418
host_pinned,2,131072,32768,47,0.051478
host_pinned,2,131072,32768,48,0.051849
host_pinned,2,131072,32768,49,0.051517
host_pinned,2,131072,32768,50,0.051809
host_pinned,2,262144,65536,1,0.109448
host_pinned,2,262144,65536,2,0.099589
host_pinned,2,262144,65536,3,0.096222
host_pinned,2,262144,65536,4,0.095741
host_pinned,2,262144,65536,5,0.098116
host_pinned,2,262144,65536,6,0.096714
host_pinned,2,262144,65536,7,0.096503
host_pinned,2,262144,65536,8,0.095832
host_pinned,2,262144,65536,9,0.097896
host_pinned,2,262144,65536,10,0.097986
host_pinned,2,262144,65536,11,0.093598
host_pinned,2,262144,65536,12,0.094069
host_pinned,2,262144,65536,13,0.095912
host_pinned,2,262144,65536,14,0.09457
host_pinned,2,262144,65536,15,0.093538
host_pinned,2,262144,65536,16,0.094299
host_pinned,2,262144,65536,17,0.095631
host_pinned,2,262144,65536,18,0.09446
host_pinned,2,262144,65536,19,0.09507
host_pinned,2,262144,65536,20,0.098717
host_pinned,2,262144,65536,21,0.093388
host_pinned,2,262144,65536,22,0.09479
host_pinned,2,262144,65536,23,0.094951
host_pinned,2,262144,65536,24,0.09446
host_pinned,2,262144,65536,25,0.094119
host_pinned,2,262144,65536,26,0.095181
host_pinned,2,262144,65536,27,0.095682
host_pinned,2,262144,65536,28,0.094249
host_pinned,2,262144,65536,29,0.094289
host_pinned,2,262144,65536,30,0.096784
host_pinned,2,262144,65536,31,0.095431
host_pinned,2,262144,65536,32,0.094189
host_pinned,2,262144,65536,33,0.095922
host_pinned,2,262144,65536,34,0.095701
host_pinned,2,262144,65536,35,0.093417
host_pinned,2,262144,65536,36,0.09468
host_pinned,2,262144,65536,37,0.09482
host_pinned,2,262144,65536,38,0.093537
host_pinned,2,262144,65536,39,0.09468
host_pinned,2,262144,65536,40,0.098046
host_pinned,2,262144,65536,41,0.093697
host_pinned,2,262144,65536,42,0.094469
host_pinned,2,262144,65536,43,0.09465
host_pinned,2,262144,65536,44,0.095091
host_pinned,2,262144,65536,45,0.093628
host_pinned,2,262144,65536,46,0.093878
host_pinned,2,262144,65536,47,0.093136
host_pinned,2,262144,65536,48,0.096062
host_pinned,2,262144,65536,49,0.09468
host_pinned,2,262144,65536,50,0.097806
host_pinned,2,524288,131072,1,0.181304
host_pinned,2,524288,131072,2,0.181715
host_pinned,2,524288,131072,3,0.183398
host_pinned,2,524288,131072,4,0.179551
host_pinned,2,524288,131072,5,0.184491
host_pinned,2,524288,131072,6,0.178208
host_pinned,2,524288,131072,7,0.180302
host_pinned,2,524288,131072,8,0.185633
